#Geofeed file for AS20186
#Updated on 06/01/24
#Updated on 24/01/24 added post code to correct identification of Cognac and not Cognac-la-foret
2001:67c:a38:f258::/64,MZ,,,,
2001:67c:a38:f095::/64,MM,,,,
2001:67c:a38:f264::/64,NA,,,,
2001:67c:a38:f674::/64,NR,,,,
2001:67c:a38:f977::/64,NP,,,,
2001:67c:a38:f031::/64,NL,,,,
2001:67c:a38:f064::/64,NZ,,,,
2001:67c:a38:f505::/64,NI,,,,
2001:67c:a38:f227::/64,NE,,,,
2001:67c:a38:f234::/64,NG,,,,
2001:67c:a38:f389::/64,MK,,,,
2001:67c:a38:f047::/64,NO,,,,
2001:67c:a38:f968::/64,OM,,,,
2001:67c:a38:f092::/64,PK,,,,
2001:67c:a38:f680::/64,PW,,,,
2001:67c:a38:f507::/64,PA,,,,
2001:67c:a38:f675::/64,PG,,,,
2001:67c:a38:f595::/64,PY,,,,
2001:67c:a38:f051::/64,PE,,,,
2001:67c:a38:f063::/64,PH,,,,
2001:67c:a38:f048::/64,PL,,,,
2001:67c:a38:f351::/64,PT,,,,
2001:67c:a38:f974::/64,QA,,,,
2001:67c:a38:f040::/64,RO,,,,
2001:67c:a38:f007::/64,RU,,,,
2001:67c:a38:f250::/64,RW,,,,
2001:67c:a38:f469::/64,KN,,,,
2001:67c:a38:f458::/64,LC,,,,
2001:67c:a38:f484::/64,VC,,,,
2001:67c:a38:f685::/64,WS,,,,
2001:67c:a38:f378::/64,SM,,,,
2001:67c:a38:f239::/64,ST,,,,
2001:67c:a38:f966::/64,SA,,,,
2001:67c:a38:f221::/64,SN,,,,
2001:67c:a38:f381::/64,RS,,,,
2001:67c:a38:f248::/64,SC,,,,
2001:67c:a38:f232::/64,SL,,,,
2001:67c:a38:f065::/64,SG,,,,
2001:67c:a38:f421::/64,SK,,,,
2001:67c:a38:f386::/64,SI,,,,
2001:67c:a38:f677::/64,SB,,,,
2001:67c:a38:f252::/64,SO,,,,
2001:67c:a38:f027::/64,ZA,,,,
2001:67c:a38:f034::/64,ES,,,,
2001:67c:a38:f094::/64,LK,,,,
2001:67c:a38:f249::/64,SD,,,,
2001:67c:a38:f211::/64,SS,,,,
2001:67c:a38:f597::/64,SR,,,,
2001:67c:a38:f046::/64,SE,,,,
2001:67c:a38:f041::/64,CH,,,,
2001:67c:a38:f963::/64,SY,,,,
2001:67c:a38:f886::/64,TW,,,,
2001:67c:a38:f992::/64,TJ,,,,
2001:67c:a38:f255::/64,TZ,,,,
2001:67c:a38:f066::/64,TH,,,,
2001:67c:a38:f228::/64,TG,,,,
2001:67c:a38:f676::/64,TO,,,,
2001:67c:a38:f468::/64,TT,,,,
2001:67c:a38:f216::/64,TN,,,,
2001:67c:a38:f090::/64,TR,,,,
2001:67c:a38:f993::/64,TM,,,,
2001:67c:a38:f688::/64,TV,,,,
2001:67c:a38:f256::/64,UG,,,,
2001:67c:a38:f380::/64,UA,,,,
2001:67c:a38:f971::/64,AE,,,,
2001:67c:a38:f044::/64,GB,,,,
2001:67c:a38:f001::/64,US,,,,
2001:67c:a38:f598::/64,UY,,,,
2001:67c:a38:f998::/64,UZ,,,,
2001:67c:a38:f678::/64,VU,,,,
2001:67c:a38:f039::/64,VA,,,,
2001:67c:a38:f058::/64,VE,,,,
2001:67c:a38:f084::/64,VN,,,,
2001:67c:a38:f967::/64,YE,,,,
2001:67c:a38:f260::/64,ZM,,,,
2001:67c:a38:f263::/64,ZW,,,,
